cibil_score,annual_income,employment_years,loan_amount,loan_term_months,residential_assets,commercial_assets,existing_liabilities,loan_status
372,3648083,19.9,1814640,24,7764479,3491312,2233065,0
764,4420469,3.5,2598862,48,5718700,4513664,2710865,0
808,3013646,8.8,3429716,84,589984,1858312,515071,0
719,2448150,7.1,3064137,36,4031477,4637120,678538,0
792,1747824,13.3,2619968,48,7587278,3538967,1134601,0
803,4624205,19.1,3146863,120,773204,1268773,2483145,0
568,3546914,13.0,1158222,24,6348696,1069121,1922871,0
324,1114373,7.3,1710816,24,145567,4516520,582562,1
574,4793464,20.9,1626021,24,6431541,3224954,1104072,0
421,484183,17.5,3204515,120,4356258,591657,1930191,1
368,3020105,15.6,1664665,48,7103173,627570,2894225,1
375,1114607,16.6,3753254,120,3310804,4137977,1353197,1
719,3388856,6.7,787136,120,6282596,848727,223591,0
603,2180732,20.4,730076,36,6741316,1094917,313826,0
624,2298215,11.6,2878864,12,2599231,3072310,86300,1
747,3423406,10.9,3068339,36,5138444,4317184,377799,0
629,3829380,4.5,2732189,48,3687157,1683857,1237688,1
678,2024204,17.9,1265778,36,3455171,3328522,844527,0
351,4988804,18.1,86066,12,6397877,3518891,903081,0
811,2592667,10.2,1319897,120,1808056,3001836,2299955,0
569,969868,25.8,1893190,36,957195,3425797,1431422,1
393,230713,25.4,1680382,60,3843378,1137723,2186820,1
788,1171545,3.3,3692091,120,6573194,3108170,1625823,1
741,3517250,20.9,3461692,48,1303954,17673,615360,1
331,2789301,11.8,3111392,60,2721744,3652703,2844792,1
416,1821586,30.0,137121,12,5336101,3961628,1428607,0
309,2510602,6.8,553294,60,3814830,3969676,2508203,0
462,4223000,8.4,1764008,84,4845833,147273,290960,0
360,2943535,13.3,2505659,120,4224147,4557117,2548538,0
726,478862,8.1,2736188,12,6480571,2172365,2147839,0
614,435555,20.8,1220322,24,7002057,402579,749951,0
889,2513842,14.4,486141,12,3596234,2672313,2379906,0
750,2140527,6.6,1346261,120,3452907,2857745,2227746,1
667,4282407,15.2,3179402,24,2229188,2010277,2680536,0
606,2998296,26.7,3946950,48,3549932,3743884,629134,0
332,3832938,23.8,3770516,48,6691163,2718622,2657238,1
342,3008919,15.0,2393278,60,4013223,1084707,2286249,1
670,1857340,8.7,409192,120,5527977,3100616,1013677,0
302,3355203,5.4,3872503,36,3347258,1318105,1051227,1
325,3182858,26.4,654145,84,5653674,593578,763601,0
431,3657037,21.3,1109773,36,5699449,1334821,1430227,0
831,1108356,17.2,3897685,24,4224677,4527784,2689769,1
575,3279427,26.4,2040341,12,7475990,2861665,2513072,0
726,1570256,3.7,831529,36,7007829,1588689,438021,0
547,3993167,20.5,2033331,48,1267347,1830853,393932,0
404,4032919,6.5,361811,84,1822268,4299438,178032,0
523,3198851,3.6,1296941,84,7638376,3330474,1842161,0
355,4744151,14.0,3811161,48,3213536,3868639,942729,0
762,2780037,11.6,1229341,36,2483153,3051199,2282522,0
410,320661,28.2,3575860,24,6369861,4961020,2280900,1
526,3109743,9.7,2194605,120,4817184,3285559,593139,0
888,3932944,24.4,2640116,36,1063687,2001437,2082600,0
655,685728,22.5,2826833,84,734261,1261588,2293510,1
575,702082,20.0,2228152,60,6464876,231485,2961166,1
626,1511151,27.6,185482,120,6118884,3836857,2168023,0
771,4252386,12.2,3680970,120,2820762,4664443,1078601,0
452,2731519,11.7,1926347,60,6899627,3320178,2999137,0
682,4886912,4.8,2639304,60,1004029,2435753,827542,0
824,4390339,8.3,2237824,12,6952273,653248,2415922,0
644,2863202,26.4,2650667,12,633195,3219876,1134623,0
568,3459448,14.2,1451051,48,5088564,1000864,2805081,0
387,1788809,10.2,3382558,60,6744230,3110615,2346769,1
449,633958,6.5,936055,84,4954408,1504826,1799060,0
868,2113941,14.5,2630321,24,6228925,4329393,642900,0
625,3042920,21.5,2332752,48,2750511,4680208,565314,0
481,1074524,8.6,2039524,120,2304331,1171216,2843244,1
551,1264342,22.7,136769,12,2127457,1631749,2405009,0
647,271971,18.9,1589400,36,930897,4610134,1537648,1
623,3723280,23.6,237820,120,2218642,99395,2632218,0
720,4517260,7.5,2037379,24,1977875,2583180,2349435,0
454,4171716,18.9,2766655,36,6053598,708128,1163142,0
690,2023986,4.6,2113791,48,1703901,2164604,2481786,0
566,3048590,10.9,3040354,60,1327668,160859,2388119,1
865,4811861,21.7,1475286,24,5864445,702375,1436445,0
394,3038541,19.0,1259251,84,4302801,2014196,58458,0
389,1620260,5.6,1820068,24,1724504,300268,2224114,1
577,1825239,25.8,955070,36,5647153,3985767,1018903,0
605,3690235,1.6,3217394,60,1728788,2890006,1094083,0
715,2342000,17.9,3248430,12,6284632,2252179,2140902,0
542,4219068,29.5,1695228,84,258145,2361904,2432784,0
849,4347720,15.9,3180618,60,4721070,4194971,263610,0
584,372001,24.0,150961,84,4774878,4227208,2471709,0
377,3671938,17.9,661393,24,2982680,237646,878671,0
371,1975805,23.5,1167926,36,5511837,3426062,1698618,0
885,2694818,19.7,1582287,120,3037792,2348614,2605577,0
380,1471010,20.7,965380,12,5227924,3914466,654443,0
869,1967515,6.8,2073149,48,1788435,3935377,662836,0
467,1785825,22.3,3184649,48,4548793,3541560,2910670,1
356,441822,7.1,1852126,48,6050086,3373611,1119045,1
483,3957303,29.4,1824708,48,7728600,1059696,2840940,0
669,886435,6.8,286595,84,2882335,4264128,1071485,0
557,2003832,7.1,1157226,24,3781908,3504073,1859462,1
772,1126521,25.8,3238665,120,3810734,1369173,1530709,1
667,970925,7.3,3252285,120,6881092,1163636,2951643,1
540,1992241,10.8,461877,24,7700490,2504254,1650789,0
681,4610077,21.4,125906,120,5168079,1714219,1508389,0
883,4731890,4.8,3332526,24,6577180,3384393,1398936,0
547,2032161,4.8,738291,12,673295,2032333,1126453,1
392,2624736,14.6,2319463,36,6074206,842449,1320222,0
545,4931354,7.3,3316472,84,6480708,1975388,1381509,0
804,1327233,7.1,3159945,84,5719219,4079034,2290929,0
430,4734596,0.3,2225074,60,4675108,4153438,137721,0
870,707600,11.1,1537731,84,7196635,1557350,1502929,0
653,1284100,9.5,3105917,24,5228205,3979210,1647366,1
661,1823866,0.9,2794210,120,6771118,466536,2259591,0
490,378004,18.6,3360796,60,1441819,4920052,1998697,1
853,4115507,18.8,2079696,12,5323090,3828507,1295751,0
321,4305997,2.1,3770756,12,3499921,204229,328560,1
479,2040045,9.5,3090479,24,6946472,3525090,1116193,1
551,4214653,26.2,300527,12,7044660,2470075,766792,0
586,3908028,17.5,1210875,24,6751887,4418399,612354,0
584,4046747,12.4,3206978,120,1723449,1199867,2163553,1
388,4052984,14.0,508514,24,3938430,4460374,1434400,0
435,2952715,6.2,2849626,60,999,4353084,2380771,1
357,731939,24.4,1395281,120,7837075,1392629,415232,0
644,4632735,27.4,867751,24,2060069,2161681,2957602,0
510,3121567,27.3,2182648,60,4995455,3206814,1420058,0
640,4526069,6.7,3730224,48,3900340,1201195,759671,0
654,4803662,9.3,3595760,24,7236996,4995615,1088683,0
721,1098380,4.8,1646597,120,6570225,954720,2524319,0
628,2130263,9.2,64593,60,6215442,1219032,2129924,0
689,1123971,10.0,3556062,48,5146327,2503481,516309,1
652,444531,19.0,3594167,84,955052,2364383,2970380,1
692,4838751,5.7,2440199,120,7352508,250974,392635,0
670,4631853,27.6,2532833,84,501048,4550832,826115,0
490,4672362,3.1,2130654,120,3644515,1200674,2187611,0
448,4441599,0.2,99365,36,3035390,515398,1589164,0
773,3314113,25.6,680119,36,3126522,2596039,1337617,0
505,2706279,21.1,616367,24,7817866,4641250,2778840,0
630,4959075,10.7,3661595,60,1851345,11323,2381771,1
418,2850815,17.9,246825,84,4639667,2440778,2886492,0
559,3283671,6.7,2248815,60,1744500,4553990,847694,0
618,1216357,5.1,1483068,60,7292384,4465204,2551947,0
676,3784200,14.1,74065,84,5888879,854152,639581,0
616,4133364,10.6,3680980,24,3318744,3106857,2417648,1
516,3456933,18.5,122223,36,642873,4179958,1646396,0
878,2593280,6.5,3430410,60,1221550,3357178,1793654,1
608,1149766,19.9,3121649,12,1941708,3286082,345931,1
785,362613,23.0,3185047,120,3250316,3864929,2637548,1
742,3211089,5.0,689648,24,7087162,2266249,836247,0
635,3478472,1.3,3530286,84,956593,335680,1794381,1
832,3908554,13.2,2415017,60,4615367,3197459,498711,0
377,4762383,23.2,1637753,84,2778563,3138842,2777823,0
853,2587334,19.5,2740274,84,372700,4257404,960142,0
810,4179923,21.1,1398696,48,4954626,4619687,2288171,0
602,3638198,12.1,1153494,84,5634041,1688734,2296496,0
740,1530551,7.0,1188493,36,7675842,4780619,1650912,0
612,4256579,16.0,2298790,60,4053459,49477,362227,0
461,455960,6.1,2424137,120,2603207,4841608,839715,1
780,3074672,21.8,999022,12,6836174,686529,1835607,0
447,4713687,5.9,1020163,36,1978858,3229165,1607665,0
488,3363024,8.7,3787946,12,5459471,3416072,1754298,0
612,4697902,15.2,2083774,48,7547113,3166434,748193,0
803,469560,14.6,3447672,84,35572,4954665,1614392,1
530,2755594,18.0,1354199,12,7401417,2762325,255969,0
596,3946939,13.1,1187769,48,1645912,657240,1452743,0
325,3283124,27.6,1166260,36,3852606,3037767,274212,0
369,4426575,25.2,2138817,84,2063709,1454399,1991582,1
333,2420480,26.4,3127306,24,1156018,3060590,1700389,1
343,3476495,18.9,2027500,24,5617859,1903196,2555432,1
821,2214874,19.1,1215014,12,3857508,212041,1386155,0
806,4386175,18.3,3842092,36,4074513,3187539,486110,0
793,773352,13.0,2311082,48,3868808,444356,705675,1
333,1419775,9.7,1606414,120,5979580,1639442,2442394,1
346,664414,17.8,88249,48,7728824,3097083,2874693,0
468,3570082,0.8,2270799,24,4102938,4405834,184426,0
639,1317114,0.2,2503200,60,1244744,1571082,2029243,1
500,1722261,25.5,3718391,12,2619077,1492309,1446373,1
593,4215876,1.4,961265,36,3968248,1507127,773539,0
403,1928877,15.7,693103,60,829285,2875638,1534397,0
739,899995,18.4,3997207,24,1832860,967203,2807374,1
488,300658,5.9,2224418,60,1620976,2635653,592757,1
339,1288153,26.9,156140,48,7783646,4005350,2511275,0
746,4590490,5.7,467408,120,3206241,403599,269019,0
842,2833348,26.5,1927806,36,7032357,4821643,2161901,0
308,4975198,22.9,2489121,120,4411635,2659072,224733,0
562,1232630,7.2,1012622,60,4048725,3138790,182026,0
797,1887099,4.5,1494449,84,7509100,3086586,111701,0
724,983392,9.5,2958179,24,5535618,4727100,2414308,1
814,2112221,11.9,3872163,12,1917761,3323301,1720779,1
549,2903918,7.4,1989689,84,2253180,4419421,2071106,0
523,4079019,30.0,1690866,48,5328680,1429832,466423,0
726,1966848,6.9,1476474,36,17931,1089635,2764418,1
392,3903350,24.9,587941,120,1220367,3217953,2426115,0
443,3205565,4.8,258456,36,594604,767629,1465892,0
661,1600699,29.4,3344300,48,5710025,555803,2696859,1
701,4578586,6.8,196703,84,3530752,1057934,429085,0
371,2284377,12.7,3292424,120,90727,1354771,877224,1
605,924767,16.8,1026683,120,5933256,481047,145283,0
519,4820955,3.6,2794696,60,5247360,3643551,493399,0
601,4584482,24.5,3808784,12,5749096,2914396,2524427,0
876,437798,8.2,3007807,12,1305741,1001659,1228836,1
346,4531952,16.5,2931617,60,6999536,1413250,1935959,1
898,4747413,16.5,1095625,48,1442595,4649030,2644711,0
570,4179621,18.1,2412765,12,4566959,4564584,2292062,0
764,1423984,1.7,2586111,60,4471261,615809,1199457,1
555,3230173,5.1,1729927,120,1749779,3067039,1044858,0
486,2783556,4.8,200178,12,3003292,1615428,325008,0
763,3176704,9.1,3654111,84,417584,1798053,2488973,1
713,3158931,4.3,827716,36,3770441,2998956,2954005,0
386,3268221,27.7,3895147,36,5416902,4923204,1500483,1
723,2667204,15.4,3732504,84,2471111,2913949,1499026,1
752,3514379,18.7,124511,24,4302151,4765973,2545117,0
533,2727711,10.7,2969980,24,7627737,4101800,1027114,0
856,279114,8.3,2554624,120,1876923,3893076,1219648,0
685,369353,15.1,961156,36,2325249,3951552,2680863,0
500,4798845,8.8,3260492,24,959951,3958419,1138058,0
306,4564403,10.3,489963,60,4336379,1276513,2782211,0
705,3010898,13.6,1032322,24,1630736,4886351,484216,0
425,1038029,15.2,3798232,84,6834845,4591623,1490413,1
754,3951036,29.5,2984217,12,2327545,3002281,1469234,0
615,887793,6.7,493141,48,5313447,3555815,920149,0
580,2010953,14.6,619116,36,1513732,4400100,2889085,0
398,1783327,4.5,1065426,120,2582215,763150,1447901,1
727,259506,10.5,328718,48,1369574,324138,2637069,1
399,4073650,21.5,771404,120,4419494,4978390,657846,0
551,2646726,5.2,2308456,24,222178,2770313,1046866,0
802,1718013,17.4,79482,48,663929,3610443,1434714,0
853,2634513,12.5,1185416,84,4011391,2512582,1691968,0
894,200004,1.5,1290832,24,4365491,2586782,688293,0
875,2297549,28.0,3884933,120,2637739,188619,939319,0
634,2693988,12.4,3898007,84,3451113,1447118,1866608,1
420,1830642,23.5,3389618,60,3331893,434760,835494,1
804,4185827,12.5,1400518,24,6063470,2161496,2279668,0
781,1399165,28.1,2132874,84,3571612,109194,1431363,0
895,861558,8.7,2042004,84,6783223,4012903,2908284,0
691,2732215,12.4,3447687,36,1736215,1470075,713101,1
385,4458929,22.8,2996447,60,1596932,3705788,2527712,1
602,2001335,10.3,3630972,12,3229804,267556,1470551,1
569,423800,10.9,2226766,36,652287,166563,258404,1
806,4855674,29.8,3680836,24,5368437,2115798,2115478,0
535,2332629,16.7,2987187,48,3124456,3940217,634568,0
497,1030051,20.7,2968378,48,2931199,4063732,415562,1
348,3154952,19.3,2663462,48,4273203,2723191,1595076,0
802,1734395,24.8,1375876,60,656835,3069149,2357631,0
753,4701401,25.9,2453824,120,3014415,3443771,772773,0
324,1611010,16.9,1458507,24,7777742,3368950,1869131,0
560,2840651,8.8,2616113,24,5028489,3705956,43095,0
588,2807884,0.7,1056425,24,4591806,157533,553821,0
582,1363718,18.4,3206700,120,4045210,2144320,2264373,1
852,2596545,24.8,2306899,12,3749785,4197632,38642,0
390,723545,13.5,2855256,12,7493009,2198890,1073316,0
484,3289954,4.9,926074,24,7442842,730952,1523540,0
408,3839927,8.6,3177511,84,3275129,3326411,198300,0
446,4760009,15.3,3220289,60,7397839,1513254,2935673,1
845,1763746,25.1,625110,120,659953,2556776,1526509,0
865,1569061,5.2,1432564,24,2557705,2583969,1015747,0
326,2834284,18.4,2726811,36,2415480,3481741,2931627,1
679,3525304,22.6,3500501,48,5578085,4649968,1675560,0
439,4963831,28.1,2961237,12,4847151,3468100,2035616,0
415,320192,3.5,1913201,120,3780880,4990746,271012,0
475,1343866,27.8,1234867,84,2048201,94790,476298,0
416,1459464,18.0,3644375,24,4054956,3913304,135622,1
594,1425833,23.0,3504581,84,2151907,2085540,1542887,1
898,2425855,1.6,3592455,48,3979839,3646571,2509068,1
652,4389969,15.2,1253611,36,2716580,426164,2705168,0
734,348775,18.7,1773875,120,7108978,2638412,1723007,0
596,4116040,9.2,1013137,48,5969134,149695,162731,0
308,3164814,12.9,3820442,24,1402164,3328137,1878495,1
350,3152960,16.6,3475033,84,7521066,1082731,1913680,1
461,3455891,16.6,734405,84,5270255,722121,1791293,0
446,753961,1.3,1025728,24,2803013,395254,2163819,1
805,3784312,13.2,2230598,60,4243685,1345980,1671607,0
806,1391032,6.4,1691235,60,1563904,4798852,2112035,0
813,2679558,27.5,1866620,24,374592,4923215,1459084,0
683,3449015,29.3,1503295,48,3365096,401853,450511,0
634,3098934,9.0,2712045,84,6257403,4898076,239839,0
690,1751000,5.3,3597345,24,2814717,2937936,2721836,1
544,2101113,6.6,3673027,84,3073995,1614862,1322946,1
702,2487254,14.3,1848181,84,7920200,4711652,966814,0
777,398014,26.2,3320171,120,7898011,1205243,879702,0
758,3685003,15.0,2792520,36,3710946,908469,155226,0
668,679769,1.7,827788,24,353486,1147590,2835316,1
334,2401202,1.2,3186454,120,5434267,728697,249662,1
735,3343981,6.8,1434148,48,5717708,2424322,657034,0
520,585880,25.3,2530219,48,7310305,702865,1372732,1
746,4978666,18.6,2896511,48,7584428,1118833,1074334,0
624,2010674,16.9,3777594,48,5032493,1856807,119946,1
829,275855,9.6,3795857,60,857032,3242483,987453,1
503,3361443,27.9,3219905,36,1995028,4290207,2338658,1
859,2876401,9.9,2048645,36,5733449,374099,751730,0
807,3273594,25.0,1630816,36,4859281,3153484,2597471,0
498,3804842,26.9,1792849,60,3487834,518386,1080566,0
590,2483042,14.5,3805707,84,3215011,4953681,40119,1
619,1976720,26.8,859881,48,5676371,1384671,326697,0
761,2816984,8.3,2122071,60,3378799,4284227,2430041,0
714,960875,19.8,2734256,36,1238244,3887216,1216645,1
812,3175597,2.6,139180,84,7834597,1621784,2943620,0
522,1455665,14.2,2557832,36,2795067,1616448,2366560,1
603,3544280,6.5,1077052,36,2228728,1585476,91104,0
558,4045062,1.9,1158550,12,554517,2354084,937455,0
846,4323038,0.1,2505832,24,3751481,2210210,2174902,0
483,4659594,9.7,85116,84,7889623,3283110,189294,0
652,786989,17.7,669419,12,1278936,2321574,2997283,0
372,862359,13.7,1847130,24,1957605,3942700,498863,1
811,4645675,9.1,2357069,84,1428353,2332265,2391356,0
530,2027973,29.7,481020,120,752411,1535545,2521468,0
504,324883,28.2,1478312,36,4827875,1633558,1516071,1
650,1577551,3.8,1264812,36,2385524,3654847,2410776,0
599,4213759,12.5,2160823,48,6008126,702909,2654469,0
809,1903950,19.5,1237357,84,3205147,1430337,2203103,0
619,568354,22.0,57405,48,5091679,1558466,2123797,0
610,3666124,11.0,2143804,24,715138,3222331,1165878,0
363,1134215,22.4,3401265,48,2634272,645379,877355,1
313,1893448,3.7,2359732,24,3312358,2254401,2603163,1
539,218691,10.0,1479606,60,476945,3373169,672959,1
899,3089587,21.5,1955378,12,3354280,4633140,1243578,0
851,2337232,18.8,603625,60,3762111,2188193,1537633,0
678,4361837,25.1,984693,12,3230725,4910467,1172158,0
679,1804924,1.4,1779768,120,4034157,3038455,1118971,0
535,1182105,5.2,2389728,60,6377876,3870616,1797589,0
406,996766,1.5,1970400,12,6165213,1214533,988404,0
305,1160762,5.8,3853406,120,112804,4577322,2966295,1
503,2365233,0.1,2567741,60,5122317,1295849,533774,0
490,618399,15.1,140819,60,7232653,682521,1166984,0
415,2131380,15.8,2122022,12,6970069,395127,2535858,1
455,4302473,19.7,2352084,24,2586832,3272320,1426549,0
314,3884773,11.5,221918,84,6263863,3141661,2115044,0
665,3258847,0.1,1570823,48,6407802,991839,1940879,0
857,4487026,20.2,3492474,60,2927022,4393395,993964,0
715,3945033,1.6,1459730,120,6953153,1384842,2232424,0
569,3332323,26.0,1853210,36,5057772,3049212,713001,0
552,4342723,0.7,923584,36,6008880,2614116,2249353,0
484,797169,15.9,354101,84,5978292,2961646,384413,0
385,4127641,26.8,1306901,12,6250768,3709937,2082260,0
659,1617876,17.2,3102672,48,7655043,4636875,337538,0
640,3718701,18.3,3933508,84,6859358,3607471,2606495,0
304,4583928,20.4,2657610,24,3378817,4535907,1876435,0
549,2580920,3.7,3332004,36,4496424,4347297,121359,1
467,625925,20.2,2615279,48,5186256,1794640,326451,1
402,1977096,26.4,2651953,12,6852399,2796374,562260,0
722,2152908,29.2,1736310,12,3141311,990421,2880638,0
616,4696328,13.3,291777,24,2503790,4631714,1768392,0
680,4724023,10.3,1671463,120,5902626,4835013,837405,0
728,2928637,22.6,3466250,24,7633353,4439443,830419,0
890,4763192,16.3,2168538,84,7295946,3712853,77414,0
782,2294196,7.7,3059780,36,1183657,4245288,609572,0
672,2173775,5.2,249847,84,7353809,3970374,2565990,0
828,4215232,5.1,844935,36,6313500,1147600,1796537,0
586,3403505,13.8,1230883,120,1256700,1319201,1102762,0
891,2707410,5.1,1469403,36,52371,2657240,63645,0
757,2392379,0.6,3952182,84,1632772,2102470,1028897,1
691,3586911,1.6,1874590,84,7435414,3681183,1148632,0
842,3816611,27.9,2665660,48,6039436,3680485,355861,0
609,2554832,2.2,2595589,60,4602454,4880513,1821658,0
733,351590,2.2,1704790,12,5048079,3942244,1981266,0
471,688816,13.5,3866993,48,3306575,58236,2994578,1
878,891954,7.4,928334,36,7240859,1702405,1076380,0
674,2418023,28.9,186398,120,1249839,1635572,827939,0
769,3148154,27.3,2993577,120,2510404,3167796,2468984,0
576,4058085,12.1,2632524,84,1604735,1711751,1051210,1
820,1316251,13.5,1078146,120,6784167,4892525,1891855,0
344,3975671,11.3,3478453,120,4320413,1442673,2212519,0
368,3397051,1.1,691362,84,5470207,2187751,2639737,0
604,447953,8.8,1041318,60,7355422,4087122,956032,0
740,1885870,3.7,660334,24,1563650,1835785,1867684,0
786,1652769,3.1,785664,84,7715417,225357,393288,0
564,4455899,16.8,2930590,24,1011955,1661431,2337835,1
690,4621745,3.0,2828767,24,6034318,1797174,135063,0
632,4132445,3.1,2589101,120,5621789,3060713,2089618,0
877,2734431,14.4,3450010,12,6603352,3558423,627018,0
693,2565621,13.3,325734,12,1267692,2743603,1387777,0
550,1695133,4.1,2500685,48,7679248,2033699,229004,0
882,3909897,0.1,504419,60,6354633,2513851,2066022,0
364,614153,5.8,3824872,12,885083,720318,1446428,1
891,1501462,7.1,2553695,36,4456760,905059,1990851,1
392,849004,24.0,3051714,24,6538173,3054262,1042556,1
473,2572447,27.5,2305909,36,3814936,4327110,20110,0
793,1638828,12.2,1565490,24,3047255,2613051,1742925,0
740,1147914,12.2,2759696,60,2204232,301802,2095914,1
883,2006786,21.4,3351218,48,4127491,4909195,1994327,0
750,4332254,18.8,753253,120,7870765,1620619,786478,0
682,2878448,5.5,3493800,12,4860130,3742631,2149686,0
508,4150725,3.2,2920022,84,5777337,4488534,1625469,0
302,4586743,13.1,389083,120,6237040,4930880,630574,0
374,4530319,16.9,3747581,48,6224509,582263,333997,1
478,1884802,4.2,761922,60,3203597,931763,975928,0
324,4411890,8.8,2424149,48,6149688,3227037,69067,0
605,4565006,9.2,561898,60,2624373,3807975,2148355,0
767,4806063,7.8,824713,120,4672125,4174027,45359,0
878,1884814,13.8,2589828,48,2419624,2758191,145282,0
594,1296014,19.6,2734198,60,7517591,792838,474583,1
825,3004515,15.3,2763525,120,5841205,3562548,978196,0
892,4672757,6.0,1405172,48,4670572,3341776,59677,0
816,4522977,3.1,3289853,24,3612055,2337757,1889620,0
579,2941823,24.7,244686,60,4160365,3188053,397192,0
495,916347,14.4,3424438,60,6239248,1061954,2409616,1
887,2227976,1.9,1244238,24,2189683,4054339,1677521,0
445,3627782,7.7,2501540,84,6627722,228683,250003,0
547,2889795,24.1,3627062,12,2253887,4194937,1200818,0
344,1858264,22.6,1059171,36,1132927,4191442,420766,0
777,1844491,26.3,1674000,84,5895071,3437348,2942245,0
690,486799,18.1,3321891,60,5666790,4074042,1777582,1
350,1585054,12.7,3465428,60,2678139,4564305,2426083,1
433,3413009,12.8,979118,60,5190181,812698,1123180,1
633,1358309,5.8,2059204,24,5829686,2723283,440327,0
624,4968284,19.5,1366658,120,6302667,3225905,704729,0
782,595654,17.6,2092063,36,7621655,4713455,1250368,0
459,3026115,4.6,1547672,84,6834858,3688669,2311596,0
855,2583512,26.6,70604,120,3514459,2971824,1292912,0
567,4199861,11.1,3701865,24,1841902,2788125,2785901,1
794,4461256,1.5,2566561,60,778605,718629,1086350,1
443,2808701,9.8,1873585,12,4590425,1586144,699723,0
322,3224730,26.1,475864,60,5332372,2166000,1486769,0
333,3554978,27.5,331514,48,5527060,4404730,333416,0
523,2700683,14.7,1941056,12,76184,4309174,2009624,1
872,1087462,28.7,2613897,60,5610842,3212203,302844,0
329,2257246,26.3,1078251,120,6296028,529875,1922669,0
521,1359452,24.8,2990353,12,5774050,3601088,1147644,1
365,2429128,25.8,1599913,120,4205225,2294715,1071297,0
859,3152741,11.5,93727,84,121387,3260573,1832536,0
705,1204531,22.7,2171456,48,3917858,2166185,2115137,1
758,1397240,17.3,765225,120,5157980,3606444,2786897,0
728,4150093,21.6,107133,36,4555537,1087646,868456,0
694,2013114,5.3,563946,84,4596675,725335,2435777,0
765,1152238,21.9,1174105,60,4131268,1099444,2506404,0
304,3623234,28.7,2083701,60,4416168,4612972,2987063,0
820,3639789,9.1,3958968,84,2590218,377142,2893117,1
744,4165567,29.6,912257,120,4839697,1429054,2371375,0
744,3847928,11.4,276726,84,2252071,1712357,884210,0
536,4961448,6.0,805480,60,3931823,4182756,2083719,0
781,2959371,3.4,1311604,120,3322380,1796178,2354066,0
529,1576745,23.5,860725,48,5713629,4466921,874347,0
329,4342047,16.6,1319615,60,7159275,4940226,2440278,0
845,1471114,9.2,3877777,24,5066154,3256118,2105714,1
440,1597041,18.3,1548574,36,1082963,1715186,1472290,1
361,4176773,10.0,2557131,120,5340044,2991504,2585234,0
673,4431763,13.5,2754885,48,2598117,3346212,263242,0
440,1828837,25.9,564056,48,395971,545241,2051675,0
815,3701170,20.0,1028588,84,1538403,4165132,2358546,0
566,4627498,22.9,1692079,36,7994948,2181106,121109,0
302,4033999,17.5,1868064,24,3417096,4229068,1222435,0
871,223971,29.7,102056,12,1613771,3058222,1551094,0
609,3389983,7.2,2597211,24,1067987,4304111,624214,0
458,1015478,7.9,1237736,48,5202641,409346,2638028,1
707,4262447,2.8,1323172,84,6086365,212141,1879951,0
618,521793,16.6,2431874,36,2825131,557310,825222,1
317,4966875,18.4,3797652,48,827739,4372476,1310814,1
756,1051178,21.8,3466605,24,2837345,4967407,336061,1
541,2216782,10.1,3919707,84,5322097,4993355,262717,0
720,1323608,0.4,1683336,48,911933,1661171,2239314,1
838,4106796,19.0,522710,24,2141682,1321425,2951024,0
666,2088796,30.0,903121,60,16034,1748662,830399,0
703,3773983,8.8,1408088,36,3777520,4085977,733985,0
453,522647,5.5,1235951,120,1364326,1257646,2051711,1
442,2373777,8.5,871489,24,1599903,2736891,1532895,0
549,4573050,12.8,645963,120,904000,3230099,418306,0
812,4649356,7.5,787819,60,5841790,1806951,2001865,0
615,1201729,10.4,2650198,12,3916001,2365379,629422,1
509,2093244,19.1,1989370,84,7586208,3325854,345268,0
768,2163750,10.4,198365,84,3160309,3952155,1392750,0
812,2914236,11.9,2277117,48,1773962,948118,2218231,1
842,2779218,1.2,3377294,24,1632743,2562474,1563460,1
479,708523,27.5,1731325,48,7625226,771700,1944867,1
726,3860801,12.2,1308449,60,4717768,77079,713880,0
654,1283721,9.8,1126592,12,2602190,3225870,1481259,1
569,1711716,2.6,1548701,36,5233332,2413437,2138813,0
538,4235342,19.0,1150555,60,4462777,1297027,1584990,0
368,3510332,25.9,3700646,48,918314,275936,718886,1
465,2103453,1.2,3968907,120,5612720,4729715,2864386,1
630,4579875,4.4,1405985,24,953496,4133932,201991,0
832,2091604,4.4,3698526,84,1594149,4676391,2732694,0
820,2914378,18.1,3421695,36,5706608,568290,2173666,0
412,1380709,27.6,349800,24,3558111,70367,335950,0
708,1079331,13.1,1988806,120,1777340,1084770,765583,1
350,2559730,10.3,2643375,60,542619,502450,1106256,1
705,2902493,23.0,1717418,48,4749240,2299826,2872823,0
505,4067922,22.3,1854667,36,5576430,3227163,1550314,0
570,2076340,7.4,2001956,120,1624443,975920,774261,1
731,4496788,4.8,2770816,12,3332929,1983362,2759928,1
555,3115445,10.7,1210365,12,2753982,2696100,354002,0
785,536549,23.3,2407995,24,7133157,1586630,2449690,0
620,3747688,20.9,1011789,60,6327230,2303492,2492071,0
900,2959140,20.0,3562547,12,2191935,2951442,1159448,1
683,2068897,24.9,384459,84,4108446,4762614,129361,0
478,2442912,8.3,314603,24,7388811,1551004,2658632,0
765,1648598,10.2,199031,60,2765911,441867,2902266,0
545,3148553,1.3,1430912,84,1128318,4342589,1134473,0
621,2921367,26.1,2444676,120,2386595,2883660,557211,0
382,2346923,17.5,3942702,36,4855732,2360383,813579,1
